Product Name,Brand,Item Number,Mfr #,Category Hierarchy,Product URL,Qty,Price,Unit,Availability,Description,Attributes,Image URLs,Alternative Product URL,Alternative Item Number
XLIM nitrile gloves x-small 100/box,Cranberry,4710520,CR3125,Home > Dental Supplies > Dental Exam Gloves > Nitrile gloves > Xlim,https://www.safcodental.com/product/xlim-reg,1,8.99,100/box,In stock,Powder-free nitrile exam gloves.,"X-small, 100/box","https://www.safcodental.com/media/catalog/product/d/r/drcaj_2.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",,
XLIM nitrile gloves small 100/box,Cranberry,4710532,CR3126,Home > Dental Supplies > Dental Exam Gloves > Nitrile gloves > Xlim,https://www.safcodental.com/product/xlim-reg,1,8.99,100/box,In stock,Powder-free nitrile exam gloves.,"Small, 100/box","https://www.safcodental.com/media/catalog/product/d/r/drcaj_2.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",,
XLIM nitrile gloves medium 100/box,Cranberry,4710544,CR3127,Home > Dental Supplies > Dental Exam Gloves > Nitrile gloves > Xlim,https://www.safcodental.com/product/xlim-reg,1,8.99,100/box,In stock,Powder-free nitrile exam gloves.,"Medium, 100/box","https://www.safcodental.com/media/catalog/product/d/r/drcaj_2.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",,
XLIM nitrile gloves large 100/box,Cranberry,4710556,CR3128,Home > Dental Supplies > Dental Exam Gloves > Nitrile gloves > Xlim,https://www.safcodental.com/product/xlim-reg,1,8.99,100/box,In stock,Powder-free nitrile exam gloves.,"Large, 100/box","https://www.safcodental.com/media/catalog/product/d/r/drcaj_2.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",,
XLIM nitrile gloves x-large 100/box,Cranberry,4710568,CR3129,Home > Dental Supplies > Dental Exam Gloves > Nitrile gloves > Xlim,https://www.safcodental.com/product/xlim-reg,1,8.99,100/box,In stock,Powder-free nitrile exam gloves.,"X-large, 100/box","https://www.safcodental.com/media/catalog/product/d/r/drcaj_2.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",,
Aurelia Vibrant latex powder-free x-small 100/box,Supermax,4870322,98225,Home > Dental Supplies > Dental Exam Gloves > Latex gloves > Aurelia Vibrant,https://www.safcodental.com/product/aurelia-reg-vibrant-trade,1,7.99,100/box,In stock,Powder-free latex exam gloves.,"x-small, 100/box","https://www.safcodental.com/media/catalog/product/d/r/drbas.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",,
Aurelia Vibrant latex powder-free small 100/box,Supermax,4870334,98226,Home > Dental Supplies > Dental Exam Gloves > Latex gloves > Aurelia Vibrant,https://www.safcodental.com/product/aurelia-reg-vibrant-trade,1,7.99,100/box,In stock,Powder-free latex exam gloves.,"small, 100/box","https://www.safcodental.com/media/catalog/product/d/r/drbas.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",,
Aurelia Vibrant latex powder-free medium 100/box,Supermax,4870345,98227,Home > Dental Supplies > Dental Exam Gloves > Latex gloves > Aurelia Vibrant,https://www.safcodental.com/product/aurelia-reg-vibrant-trade,1,7.99,100/box,In stock,Powder-free latex exam gloves.,"medium, 100/box","https://www.safcodental.com/media/catalog/product/d/r/drbas.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",,
Aurelia Vibrant latex powder-free large 100/box,Supermax,4870357,98228,Home > Dental Supplies > Dental Exam Gloves > Latex gloves > Aurelia Vibrant,https://www.safcodental.com/product/aurelia-reg-vibrant-trade,1,7.99,100/box,In stock,Powder-free latex exam gloves.,"large, 100/box","https://www.safcodental.com/media/catalog/product/d/r/drbas.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",,
Compac nitrile gloves PF x-s 100/bag,Cranberry,4710150,CR3905,Home > Dental Supplies > Dental Exam Gloves > Nitrile gloves > Compac Nitrile,https://www.safcodental.com/product/compac-nitrile,1,8.49,100/bag,In stock,"The unique polybag storage design provides up to 2x greater packing efficiency compared to traditional glove boxes, helping optimize space in clinical environments. A secure single-glove dispensing system supports faster and more efficient patient care preparation, while the cuff-first dispensing method helps reduce cross-contamination by up to 89% and minimizes unnecessary touch points.","X-small, 100/bag","https://www.safcodental.com/media/catalog/product/c/r/cranberry_drcdm_4710154.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds",,
